article_id,question_id,part_id,question_number,article_number,article_title,citation_label,parse_status,segment_count,segment_types,missing_segment_types,char_count,warning_types,suspiciously_short,source_url
st.i-ii.q001.a001,st.i-ii.q001,i-ii,1,1,Does it belong to man to act for an end?,I-II q.1 a.1,ok,4,"[""resp"", ""ad"", ""ad"", ""ad""]",[],2256,[],False,https://www.newadvent.org/summa/2001.htm#article1
st.i-ii.q001.a002,st.i-ii.q001,i-ii,1,2,Is this proper to the rational nature?,I-II q.1 a.2,ok,4,"[""resp"", ""ad"", ""ad"", ""ad""]",[],3426,[],False,https://www.newadvent.org/summa/2001.htm#article2
st.i-ii.q001.a003,st.i-ii.q001,i-ii,1,3,Are a man's actions specified by their end?,I-II q.1 a.3,ok,4,"[""resp"", ""ad"", ""ad"", ""ad""]",[],3211,[],False,https://www.newadvent.org/summa/2001.htm#article3
st.i-ii.q001.a004,st.i-ii.q001,i-ii,1,4,Is there any last end of human life?,I-II q.1 a.4,ok,4,"[""resp"", ""ad"", ""ad"", ""ad""]",[],3643,[],False,https://www.newadvent.org/summa/2001.htm#article4
st.i-ii.q001.a005,st.i-ii.q001,i-ii,1,5,Can one man have several last ends?,I-II q.1 a.5,ok,4,"[""resp"", ""ad"", ""ad"", ""ad""]",[],2560,[],False,https://www.newadvent.org/summa/2001.htm#article5
st.i-ii.q001.a006,st.i-ii.q001,i-ii,1,6,Does man ordain all to the last end?,I-II q.1 a.6,ok,4,"[""resp"", ""ad"", ""ad"", ""ad""]",[],1681,[],False,https://www.newadvent.org/summa/2001.htm#article6
st.i-ii.q001.a007,st.i-ii.q001,i-ii,1,7,Do all men have the same last end?,I-II q.1 a.7,ok,4,"[""resp"", ""ad"", ""ad"", ""ad""]",[],1415,[],False,https://www.newadvent.org/summa/2001.htm#article7
st.i-ii.q001.a008,st.i-ii.q001,i-ii,1,8,Do all other creatures concur with man in that last end?,I-II q.1 a.8,partial,1,"[""resp""]","[""ad""]",1095,"[""article_missing_replies""]",False,https://www.newadvent.org/summa/2001.htm#article8
st.i-ii.q002.a001,st.i-ii.q002,i-ii,2,1,Does happiness consist in wealth?,I-II q.2 a.1,ok,4,"[""resp"", ""ad"", ""ad"", ""ad""]",[],2894,[],False,https://www.newadvent.org/summa/2002.htm#article1
st.i-ii.q002.a002,st.i-ii.q002,i-ii,2,2,In honor?,I-II q.2 a.2,ok,4,"[""resp"", ""ad"", ""ad"", ""ad""]",[],1257,[],False,https://www.newadvent.org/summa/2002.htm#article2
st.i-ii.q002.a003,st.i-ii.q002,i-ii,2,3,In fame or glory?,I-II q.2 a.3,ok,4,"[""resp"", ""ad"", ""ad"", ""ad""]",[],2268,[],False,https://www.newadvent.org/summa/2002.htm#article3
